8.39,8.26,7.81,5.43,4.35,7.16,13.91,8.07,19.4,13.15
8.52,8.44,7.84,5.56,4.18,7.25,13.83,7.86,19.89,13.31
8.48,8.31,8.17,5.51,4.33,7.12,13.99,7.96,19.36,13.26
8.33,8.16,8.09,5.39,4.55,7.09,14.53,7.81,19.09,12.99
8.58,8.25,8.09,5.44,4.52,7.03,14.44,7.83,18.95,12.87
8.7,8.11,7.9,5.33,4.3,7.14,14.33,7.77,18.75,12.91
9.14,8.06,7.86,5.32,4.18,7.04,14.6,7.64,18.39,12.83
9.15,8.07,7.89,5.35,4.01,6.85,14.42,7.55,18.17,12.71
8.66,7.78,7.55,5.16,4,6.9,14.57,7.37,17.92,12.69
8.67,7.79,7.56,5.17,4.2,6.74,14.7,7.41,17.87,12.7
8.32,7.57,7.39,5.08,4.18,6.74,14.79,7.66,18.5,12.77
8.37,7.65,7.43,5.09,4.08,7.11,14.92,7.68,18.22,12.77
8.74,7.88,7.62,5.25,3.88,7.05,14.95,7.9,18.2,12.62
8.64,7.8,7.58,5.29,3.81,7.16,14.6,7.95,18.62,12.64
8.97,7.83,7.63,5.28,3.87,7.33,14.55,7.87,19.02,12.85
9.03,8.06,7.75,5.37,3.91,7.31,14.7,7.61,18.49,12.71
9,8.13,7.8,5.46,3.84,7.2,14.59,7.65,18.43,12.68
8.66,7.89,7.62,5.29,3.86,7.25,14.63,7.49,18.4,12.81
8.7,8.03,7.63,5.3,3.92,7.26,14.66,7.51,18,13.24
8.82,8.24,7.54,5.26,4.04,7.26,14.69,7.41,17.9,12.99
8.69,8.12,7.46,5.26,4.24,7.45,14.64,7.33,17.91,12.76
8.64,8.09,7.53,5.25,4.45,7.37,14.54,7.32,17.95,12.41
8.49,7.98,7.51,5.23,4.27,7.38,14.56,7.2,18.17,12.08
8.6,7.94,7.55,5.2,4.17,7.42,14.43,7.25,17.95,11.84
8.45,7.92,7.43,5.19,3.96,7.48,14.3,7.18,17.8,12.1
8.4,7.9,7.41,5.23,3.8,7.15,14.3,7.23,17.99,11.8
8.4,7.71,7.27,5.18,3.83,7.13,14.4,7.34,19.38,12.06
8.3,7.84,7.34,5.18,,7.38,14.69,7.44,21.32,12.13
8.49,7.93,7.5,5.26,,7.59,14.6,7.59,20.6,11.94
8.7,8.09,7.64,5.35,,7.71,14.59,7.39,20.07,11.85
8.73,8.08,7.68,5.37,,7.6,14.56,7.44,19.71,11.87
8.55,8.03,7.53,5.3,,7.71,14.59,7.36,19.22,11.75
8.54,8.06,7.5,5.28,,7.55,14.39,7.2,20.21,11.84
8.43,7.88,7.43,5.26,,7.48,14.14,7.14,19.47,11.6
8.99,7.86,7.34,5.15,,7.49,13.73,6.95,18.88,11.42
8.81,7.86,7.3,5.12,,7.46,13.77,6.71,18.52,11.19
8.56,8.02,7.27,5.08,,7.14,13.68,6.72,18.72,10.92
8.16,8.17,7.01,4.89,,7.3,13.87,6.95,18.41,10.64
8.33,8.55,7.08,4.93,,7.3,13.79,6.69,19.29,10.62
8.18,8.68,6.9,4.9,,7.54,13.81,6.72,18.88,10.09
8.5,8.73,7.2,5.15,,7.34,13.8,6.59,18.78,10.01
8.41,8.92,7.03,5.05,,7.65,13.85,6.64,18.54,10.19
8.5,8.88,7.07,5.16,,7.59,13.79,6.66,18.88,10.27
8.42,8.88,6.99,5.08,,7.41,13.92,6.37,18.73,10.56
8.41,9.11,7,5.09,,7.27,13.92,6.31,18.14,10.34
8.43,8.89,6.88,5.07,,7.31,13.69,6.08,17.89,10.34
8.2,8.7,6.94,4.89,,7.18,8.86,6.21,17.63,10.31
8.16,8.8,6.93,4.95,,7.03,8.38,6.62,16.99,10.25
8.1,8.67,6.76,4.93,,7,8.86,6.42,17.21,10.18
7.7,8.51,6.87,4.81,,6.71,8.69,7.06,17.05,10.25
7.73,8.53,6.76,4.8,,7.03,8.55,7.19,17.75,10.5
7.31,8.31,7.05,4.58,,7.08,8.58,7.31,17.76,10.31
7.77,8.78,7.08,4.83,,7.02,8.56,7.24,18.18,10.36
7.9,8.83,7.16,4.88,,7.08,8.22,7.38,18,10.88
7.79,8.8,7.12,4.81,,6.95,8.34,7.13,17.67,11.42
7.86,8.84,7.06,4.85,,6.92,8.34,7.11,17.37,10.95
7.81,8.83,7.01,4.82,,6.85,8.44,7.17,17.28,10.81
7.76,8.64,6.89,4.81,,6.84,8.39,7.4,17.59,10.5
7.58,8.62,6.86,4.73,,7.04,8.37,7.2,17.35,10.22
7.57,8.63,6.96,4.73,,6.94,8.64,7.26,17.44,10.28
7.8,8.99,6.86,4.81,,7,9.5,7.43,18.02,10.54
7.62,8.89,6.96,4.76,,7.24,8.99,8.17,19.81,10.85
7.73,8.92,7.17,4.89,,7.96,8.89,8.49,19,10.72
8.14,9.29,7.89,5.07,,7.77,8.82,8.53,19.1,10.75
8.95,10.22,8.02,5.58,,7.8,8.76,8.51,18.9,11.13
8.72,9.94,7.94,5.75,,7.82,8.61,8.54,18.6,10.91
8.93,9.92,8.06,5.82,,7.71,8.69,8.23,18.48,10.76
8.94,10.03,8.2,5.9,,7.79,8.74,8.4,18.64,10.58
9.13,9.71,7.98,5.91,,8.15,9.23,8.35,18.75,10.38
9.04,9.81,8,5.92,,8.09,9.74,8.37,18.72,10.47
9.18,9.86,7.95,5.8,,7.9,9.76,8.22,19.09,10.34
9.15,9.95,7.89,5.81,,7.9,9.64,8.21,19.03,10.25
9.15,9.93,7.85,5.87,,7.94,9.52,8.21,18.8,10.19
9.12,9.92,7.9,5.89,,7.82,9.38,8.08,18.57,10.14
8.91,9.73,7.89,5.7,,7.68,9.39,8.1,18.55,10.12
